"","Country","Healthexp.GDP","Healthexppercap","LifeExp","Airpassengers","MobileCellSubs","InternetUsersPer100","FixedBroadSubs","AgricultureLand.area","C02emKgper2010USofGDP","CerealProdM3tons","CaptureFishprodM3tons","ForestArea.area","PopDensityperSqKmland","Urbanpop.total","TotalPopulation","Adolesfertilityper1000","FoodprodIndex","CompulsoryEdYears","GDPperCapCurrUS.","IntTourismArrival","IntTourismExp","Unemployment.rate","Olympics","Nuclear","Flag Colours","Official Languages","Coastline","Continent"
"139","Romania",4.52,1070.35,75.06,3087143,22910000,49.76,3790270,60.45,0.4,20903340,4308,29.22,86.87,54.24,19983693,36.21,98.32,10,9585.27,8019000,2.06e+09,7.300000191,"N","N","tricolour","low","Y","Europe"
"140","Russian Federation",3.71,1777.13,70.37,64072322,218300372,67.97,23745346,13.24,1.07,90382447,4353790,49.77,8.76,73.85,143506911,25.53,122.44,10,15552.05,30792000,5.35e+10,5.5,"Y","Y","tricolour","low","Y","Europe"
"141","Rwanda",2.93,120.44,63.39,610992,6689158,9,2781,74.69,0.11,998200,22390,18.91,449.05,26.87,11078095,28.47,172.83,6,679,864000,1.01e+08,0.600000024,"N","N","multicolour","medium","N","Africa"
"142","Samoa",6.22,392.59,73.25,650838.7039,99887,15.3,1238,12.37,0.35,577501.68,11201,60.42,67.28,19.44,190390,26.93,110.27,8,4179.6,116000,2400000,10.59899999446,"N","N","tricolour","low","Y","Australia"
"143","San Marino",5.66,3347.52,78.1142,3166647.936,36780,75.3053,10231,16.67,0.3876,560108.95,31997.0644,0,523.18,94.14,31391,25.2475,99.3225,10,36657.1077,71000,2863085000,8.43200007225,"N","N","multicolour","low","N","Europe"
"144","Sao Tome and Principe",3.59,337.33,66.26,722437.4388,125329,23,978,50.73,0.51,776,5442,55.83,189.99,63.9,182386,86.88,113.06,6,1660.9,317260,1200000,9.38600006684,"N","N","multicolour","low","Y","Africa"
"145","Saudi Arabia",3.1,2159.39,74.18,28252104,53104000,60.5,2919701,80.61,0.86,972500,71946,0.45,14.05,82.72,30201051,10.06,107.93,9,24646.02,15772000,1.77e+10,5.699999809,"N","N","two-colour","low","Y","Asia"
"146","Senegal",2.24,101.18,65.88,219996,13133772,13.1,106733,46.06,0.59,1272425,471472,43.39,73.86,43.08,14221041,83.64,128.14,11,1041.17,1063000,1.5e+08,10.30000019,"N","N","tricolour","low","Y","Africa"
"147","Serbia",5.98,1317.03,75.19,1241352,9198717,53.45,1173635,39.92,1.1,9123503,5040,31.07,81.91,55.37,7164132,19.97,108.43,8,6353.83,922000,1.12e+09,22.10000038,"N","N","multicolour","high","N","Europe"
"148","Seychelles",3.34,865.86,73.12,344436,136790,50.4,12411,3.22,0.55,137974.5,74128,88.41,195.54,53.23,89900,58.98,114.01,10,15695.9,230000,3.7e+07,9.98900007113,"N","N","multicolour","medium","Y","Africa"
"149","Sierra Leone",1.69,220.11,50.36,451722.0449,4e+06,1.7,16082.5900000001,54.71,0.31,1376481,205000,40.41,85.6,39.23,6178859,122.47,172.22,9,796.32,81000,2e+07,3.400000095,"N","N","tricolour","low","Y","Africa"
"150","Singapore",1.74,3631.08,82.25,31729241,8438100,80.9,1493400,0.95,0.19,6611431.75,1645,23.13,7636.72,100,5399162,3.87,112.05,6,55617.61,11899000,2.42e+10,2.799999952,"N","N","two-colour","high","Y","Asia"
"151","Slovak Republic",5.79,2080.11,76.41,64008,6208412,77.88,1109060,40.1,0.35,3411961,1986,40.33,112.57,53.95,5413393,20.87,86.96,10,18191.61,4756270,2.37e+09,14.19999981,"N","N","tricolour","low","N","Northern America"
"152","Slovenia",6.67,2619.81,80.32,857000,2283573,72.68,524621,30.31,0.31,460839,400.22,61.95,102.28,49.76,2059953,4.21,83.12,9,23150.32,2259000,9.22e+08,10.19999981,"N","N","tricolour","medium","Y","Europe"
"153","Solomon Islands",4.99,114.45,67.72,302412,323105,8,1884,3.86,0.24,4200,36607.02,78.46,20.03,21.42,560685,51.56,117.89,8.28,1890,24400,67700000,3.799999952,"N","N","multicolour","low","Y","Australia"
"154","South Africa",4.2,1123.63,56.74,16311250,76865278,46.5,1615210,79.83,1.16,14872900,430530,7.62,43.95,63.79,53192216,48.72,122.25,9,6910.67,9537000,3.43e+09,24.60000038,"N","N","multicolour","high","Y","Africa"
